page,date,operation,name,isin,quantity,price,currency
2,2025-12-19,BUY,AlphabetInc.ClassA,,2.0,301.93,EUR
2,2025-12-19,BUY,CRISPRTherapeuticsLtd,CH0334081137,3.0,55.88,USD
3,2024-11-26,SELL,CanopyGrowthCorp.,CA1380357048,145.0,2.9,CAD
3,2024-11-26,BUY,TeradyneInc.,US8807701029,1.0,190.26,USD
4,2024-11-26,BUY,VikingTherapeuticsInc.,US92686J1060,5.0,34.74,USD
4,2024-11-26,BUY,ASTSpaceMobileInc.,US00217D1000,2.0,65.86,USD
5,2024-11-26,BUY,FranklinFTSEIndiaUCITSETF,IE00BHZRQZ17,5.0,37.83,EUR
5,2024-11-26,BUY,PaloAltoNetworksInc.,US6974351057,1.0,186.23,USD
5,2024-11-26,BUY,ChevronCorp.,US1667641005,1.0,148.85,USD
6,2024-11-26,BUY,OkloInc.,US02156V1098,1.0,76.92,USD
6,2024-11-26,BUY,UnitedStatesAntimonyCorp.,US9115491030,28.0,4.74,USD
7,2024-11-26,BUY,WalmartInc.,US9311421039,2.0,116.23,USD
7,2024-11-26,SELL,AlphabetInc.ClassA,US02079K3059,2.0,297.89,USD
7,2024-11-26,DISTRIBUTION,Share Distribution,FR0014012K95,0.0,0.0,EUR
7,2024-11-26,BUY,Corporate Event Buy,FR0014012K95,4.0,1.35,EUR
8,2024-11-26,SELL,SolidPowerInc.,US83422N1054,19.0,4.52,USD
8,2024-11-26,DISTRIBUTION,Share Distribution,FR0014012K95,0.0,0.0,EUR
8,2024-11-26,BUY,Corporate Event Buy,FR0014012K95,16.0,1.35,EUR
8,2025-12-15,BUY,Amplifon,IT0004056880,7.0,13.98,EUR
9,2024-11-26,SELL,BroadcomInc.,US11135F1012,2.0,353.0,USD
9,2024-11-26,BUY,ToyotaMotorCorp.-ADR,US8923313071,2.0,215.81,USD
10,2024-11-26,BUY,NovoNordiskBA/S,DK0062498333,4.0,319.1,DKK
10,2025-12-11,SELL,OculusInc.,US67575Y1091,7000.0,0.05,CAD
10,2025-12-10,DEPOSIT,Cash Deposit,,1.0,2000.0,EUR
