BAIDU INC. O.N           : 17.00000000 (KYG070341048)
BYD CO. LTD              : 12.00000000 (US05606L1008)
CNE100006M               : 20.00000000 (CNE100006M58)
D-WAVE QUANTUM           : 25.00000000 (US26740W1099)
ESSILORLUXOTTICA /O.     : 6.00000000 (US2972842007)
IE00BMYDM7               : 17.00000000 (IE00BMYDM794)
IS MSCI BRAZ.U.ETF U     : 3.00000000 (IE00B0M63516)
ISHSV-S+P500ENER.SEC     : 10.00000000 (IE00B42NKQ00)
KYG0171911               : 20.00000000 (KYG017191142)
TENCENT HLDGS            : 10.00000000 (KYG875721634)
TESLA INC                : 1.00000000 (US88160R1014)
UBER TECH                : 5.00000000 (US90353T1007)
XIAOMI CORP              : 120.00000000 (KYG9830T1067)
