BROKER             | ASSET      | TICKER               | ISIN           | CUR |    AVG_PRC |          QTY
---------------------------------------------------------------------------------------------------------
--- BGSAXO ---
BGSAXO             | ETF        | CIBR:xmil            | IE00BF16M727   | EUR |    38.6244 |    10.000000
BGSAXO             | ETF        | FLXI:xmil            | IE00BHZRQZ17   | EUR |    37.8300 |     5.000000
BGSAXO             | ETF        | ICGA:xetr            | IE00BJ5JPG56   | EUR |     5.6590 |   100.000000
BGSAXO             | ETF        | KSTR:xmil            | IE00BKPJY541   | EUR |    16.9680 |    10.000000
BGSAXO             | ETF        | NUCL:xmil            | IE000M7V94E1   | EUR |    51.4670 |    20.000000
BGSAXO             | ETF        | SWDA:xmil            | IE00B4L5Y983   | EUR |    96.8925 |    10.000000
BGSAXO             | ETF        | XAIX:xmil            | IE00BGV5VN51   | EUR |   135.1715 |    11.000000
BGSAXO             | STOCK      | 02050:xhkg           | CNE100006Z79   | HKD |    31.9400 |   100.000000
BGSAXO             | STOCK      | AHLA:xetr            | US01609W1027   | EUR |   134.6000 |     2.000000
BGSAXO             | STOCK      | AMP:xmil             | IT0004056880   | EUR |    13.9750 |     7.000000
BGSAXO             | STOCK      | AMZN:xnas            | US0231351067   | USD |   219.5100 |     4.000000
BGSAXO             | STOCK      | ANET:xnys            | US0404132054   | USD |   148.8500 |     4.000000
BGSAXO             | STOCK      | ARM:xnas             | US0420682058   | USD |   169.8300 |     1.000000
BGSAXO             | STOCK      | ASTS:xnas            | US00217D1000   | USD |    65.8600 |     2.000000
BGSAXO             | STOCK      | BIDU:xnas            | US0567521085   | USD |   128.9320 |     5.000000
BGSAXO             | STOCK      | BWXT:xnys            | US05605H1005   | USD |   177.3100 |     1.000000
BGSAXO             | STOCK      | BYDDY:xnas           | US05606L1008   | USD |    13.1200 |    20.000000
BGSAXO             | STOCK      | CCO:xtse             | CA13321L1085   | CAD |   125.5100 |     2.000000
BGSAXO             | STOCK      | CRSP:xnas            | CH0334081137   | USD |    56.0319 |     5.000000
BGSAXO             | STOCK      | CVX:xnys             | US1667641005   | USD |   148.8500 |     1.000000
BGSAXO             | STOCK      | DT:xnys              | US2681501092   | USD |    58.5824 |     3.000000
BGSAXO             | STOCK      | ETL:xpar             | FR0010221234   | EUR |     2.8911 |    45.000000
BGSAXO             | STOCK      | GOOGL:xnas           | US02079K3059   | USD |   301.9300 |     2.000000
BGSAXO             | STOCK      | INTC:xnas            | US4581401001   | USD |    27.9233 |    30.000000
BGSAXO             | STOCK      | KULR:xase            | US50125G3074   | USD |     3.8168 |    80.000000
BGSAXO             | STOCK      | LDO:xmil             | IT0003856405   | EUR |    43.2700 |     2.000000
BGSAXO             | STOCK      | META:xnas            | US30303M1027   | USD |   769.7000 |     1.000000
BGSAXO             | STOCK      | NOKIA:xhel           | FI0009000681   | EUR |     4.5503 |    80.000000
BGSAXO             | STOCK      | NOVOb:xcse           | DK0062498333   | DKK |   411.3500 |     8.000000
BGSAXO             | STOCK      | NOW:xnys             | US81762P1021   | USD |   155.2900 |     1.000000
BGSAXO             | STOCK      | NVDA:xnas            | US67066G1040   | USD |   183.5700 |     2.000000
BGSAXO             | STOCK      | OKLO:xnys            | US02156V1098   | USD |    76.9200 |     1.000000
BGSAXO             | STOCK      | ORCL:xnys            | US68389X1054   | USD |   222.5342 |     3.000000
BGSAXO             | STOCK      | PANW:xnas            | US6974351057   | USD |   186.2300 |     1.000000
BGSAXO             | STOCK      | PDD:xnas             | US7223041028   | USD |   108.0000 |     2.000000
BGSAXO             | STOCK      | PYPL:xnas            | US70450Y1038   | USD |    89.5300 |     3.000000
BGSAXO             | STOCK      | QBTS:xnys            | US26740W1099   | USD |    29.5500 |    15.000000
BGSAXO             | STOCK      | QCOM:xnas            | US7475251036   | USD |   151.6900 |     2.000000
BGSAXO             | STOCK      | QRVO:xnas            | US74736K1016   | USD |    85.5500 |     2.000000
BGSAXO             | STOCK      | QS:xnas              | US74767V1098   | USD |     4.9266 |    20.000000
BGSAXO             | STOCK      | QUBT:xnas            | US74766W1080   | USD |     9.1548 |    10.000000
BGSAXO             | STOCK      | RACE:xmil            | NL0011585146   | EUR |   374.5950 |     1.000000
BGSAXO             | STOCK      | SAI:xmce             | ES0105650008   | EUR |     0.0900 |  1300.000000
