BROKER             | ASSET      | TICKER               | ISIN           |          QTY
-------------------------------------------------------------------------------------
--- BGSAXO ---
BGSAXO             | ETF        | CIBR:xmil            | IE00BF16M727   |    10.000000
BGSAXO             | ETF        | FLXI:xmil            | IE00BHZRQZ17   |     5.000000
BGSAXO             | ETF        | ICGA:xetr            | IE00BJ5JPG56   |   100.000000
BGSAXO             | ETF        | KSTR:xmil            | IE00BKPJY541   |    10.000000
BGSAXO             | ETF        | NUCL:xmil            | IE000M7V94E1   |    20.000000
BGSAXO             | ETF        | SWDA:xmil            | IE00B4L5Y983   |    10.000000
BGSAXO             | ETF        | XAIX:xmil            | IE00BGV5VN51   |    11.000000
BGSAXO             | STOCK      | 02050:xhkg           | CNE100006Z79   |   100.000000
BGSAXO             | STOCK      | AHLA:xetr            | US01609W1027   |     2.000000
BGSAXO             | STOCK      | AMP:xmil             | IT0004056880   |     7.000000
BGSAXO             | STOCK      | AMZN:xnas            | US0231351067   |     4.000000
BGSAXO             | STOCK      | ANET:xnys            | US0404132054   |     4.000000
BGSAXO             | STOCK      | ARM:xnas             | US0420682058   |     1.000000
BGSAXO             | STOCK      | ASTS:xnas            | US00217D1000   |     2.000000
BGSAXO             | STOCK      | BIDU:xnas            | US0567521085   |     5.000000
BGSAXO             | STOCK      | BWXT:xnys            | US05605H1005   |     1.000000
BGSAXO             | STOCK      | BYDDY:xnas           | US05606L1008   |    20.000000
BGSAXO             | STOCK      | CCO:xtse             | CA13321L1085   |     2.000000
BGSAXO             | STOCK      | CRSP:xnas            | CH0334081137   |     5.000000
BGSAXO             | STOCK      | CVX:xnys             | US1667641005   |     1.000000
BGSAXO             | STOCK      | DT:xnys              | US2681501092   |     3.000000
BGSAXO             | STOCK      | ETL:xpar             | FR0010221234   |    45.000000
BGSAXO             | STOCK      | GOOGL:xnas           | US02079K3059   |     2.000000
BGSAXO             | STOCK      | INTC:xnas            | US4581401001   |    30.000000
BGSAXO             | STOCK      | KULR:xase            | US50125G3074   |    80.000000
BGSAXO             | STOCK      | LDO:xmil             | IT0003856405   |     2.000000
BGSAXO             | STOCK      | META:xnas            | US30303M1027   |     1.000000
BGSAXO             | STOCK      | NOKIA:xhel           | FI0009000681   |    80.000000
BGSAXO             | STOCK      | NOVOb:xcse           | DK0062498333   |     8.000000
BGSAXO             | STOCK      | NOW:xnys             | US81762P1021   |     1.000000
BGSAXO             | STOCK      | NVDA:xnas            | US67066G1040   |     2.000000
BGSAXO             | STOCK      | OKLO:xnys            | US02156V1098   |     1.000000
BGSAXO             | STOCK      | ORCL:xnys            | US68389X1054   |     3.000000
BGSAXO             | STOCK      | PANW:xnas            | US6974351057   |     1.000000
BGSAXO             | STOCK      | PDD:xnas             | US7223041028   |     2.000000
BGSAXO             | STOCK      | PYPL:xnas            | US70450Y1038   |     3.000000
BGSAXO             | STOCK      | QBTS:xnys            | US26740W1099   |    15.000000
BGSAXO             | STOCK      | QCOM:xnas            | US7475251036   |     2.000000
BGSAXO             | STOCK      | QRVO:xnas            | US74736K1016   |     2.000000
BGSAXO             | STOCK      | QS:xnas              | US74767V1098   |    20.000000
BGSAXO             | STOCK      | QUBT:xnas            | US74766W1080   |    10.000000
BGSAXO             | STOCK      | RACE:xmil            | NL0011585146   |     1.000000
BGSAXO             | STOCK      | SAI:xmce             | ES0105650008   |  1300.000000
BGSAXO             | STOCK      | SLDP:xnas            | US83422N1054   |     1.000000
BGSAXO             | STOCK      | TER:xnas             | US8807701029   |     1.000000
BGSAXO             | STOCK      | TM:xnys              | US8923313071   |     2.000000
BGSAXO             | STOCK      | TSM:xnys             | US8740391003   |     1.000000
BGSAXO             | STOCK      | UAMY:xase            | US9115491030   |    50.000000
BGSAXO             | STOCK      | VKTX:xnas            | US92686J1060   |     5.000000
BGSAXO             | STOCK      | VNET:xnas            | US90138A1034   |    10.000000
BGSAXO             | STOCK      | VOYG:xnys            | US92892B1035   |    30.000000
BGSAXO             | STOCK      | WBD:xmil             | IT0003865570   |   100.000000
BGSAXO             | STOCK      | WMT:xnas             | US9311421039   |     5.000000
BGSAXO             | STOCK      | XBOT:xtsx            | CA75604K1075   |   300.000000
BGSAXO             | STOCK      | XPEV:xnys            | US98422D1054   |    15.000000
--- BINANCE ---
BINANCE            | CRYPTO     | 0G                   | ---            |     0.238302
